Familia,Especie,Género,Polinizador,Start,End,Jan-01,Jan-02,Feb-01,Feb-02,Mar-01,Mar-02,Apr-01,Apr-02,May-01,May-02,Jun-01,Jun-02,Jul-01,Jul-02,Aug-01,Aug-02,set01,set02,Oct-01,Oct-02,Nov-01,Nov-02,Dec-01,Dec-02,Total
Orchidaceae,Oncidium stenoglossum (Schltr.) Dressler & N.H. Williams,Oncidium,Bees,1,12,0,0,0,0,0,0,0,0,2,4,15,34,39,46,29,26,6,3,0,0,0,0,0,0,204
Orchidaceae,Platystele compacta (Ames) Ames,Platystele,Flies,1,12,25,30,27,35,31,39,51,56,49,46,62,75,76,64,93,92,87,70,104,91,89,91,61,61,1505
Orchidaceae,Platystele oxyglossa (Schltr.) Garay,Platystele,Flies,1,12,9,5,5,8,7,2,10,7,6,15,14,4,15,6,22,37,14,23,19,26,37,18,22,15,346
Orchidaceae,Pleurothallis amparoana Schltr.,Pleurothallis,Flies,1,12,0,0,0,0,0,1,14,42,51,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Orchidaceae,Pleurothallis homalantha Schltr.,Pleurothallis,Flies,1,12,2,0,0,1,0,1,0,0,0,7,25,2,57,12,77,46,1,34,26,69,122,53,54,45,634
Orchidaceae,Pleurothallis rowleei Ames,Pleurothallis,Flies,1,12,0,0,0,0,0,0,0,1,4,0,40,75,37,2,0,0,0,0,0,0,1,6,13,25,204
Orchidaceae,Pleurothallis ruscifolia (Jacq.) R. Br.,Pleurothallis,Flies,1,12,1,0,0,0,0,0,0,0,0,0,1,0,10,6,0,2,0,10,1,0,79,83,4,10,207
Orchidaceae,Pleurothallis strumosa Ames,Pleurothallis,Flies,1,12,13,9,5,6,2,10,27,21,28,19,27,18,32,27,36,41,46,32,33,31,32,24,20,20,559
Orchidaceae,Prosthechea ionocentra (Rchb. f.) W.E. Higgins,Prosthechea,Bees,1,12,0,0,0,0,0,0,0,0,1,1,2,3,8,4,1,2,1,0,0,0,0,0,0,0,23
Orchidaceae,Scaphosepalum anchoriferum (Rchb. f.) Rolfe,Scaphosepalum,Flies,1,12,0,0,0,0,0,0,0,0,4,3,6,14,11,11,13,8,7,6,8,15,11,10,7,7,141
Orchidaceae,Scaphyglottis densa (Schltr.) B. R. Adams,Scaphyglottis,Bees,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,21,7,1,0,0,43
Orchidaceae,Scaphyglottis sessiliflora B.R. Adams,Scaphyglottis,Bees,1,12,5,17,15,4,0,0,0,0,1,0,0,0,2,2,2,3,1,2,2,1,3,1,2,4,67
Orchidaceae,Sobralia leucoxantha Rchb. f.,Sobralia,Bees,1,12,0,0,1,3,0,1,3,3,5,5,3,2,3,0,1,1,0,0,0,0,0,0,0,1,32
Orchidaceae,Stelis parvula Lindl.,Stelis,Flies,1,12,0,0,1,2,1,1,66,428,761,940,463,21,0,0,0,1,0,0,0,0,0,0,0,0,2685
Orchidaceae,Stelis sp.,Stelis,Flies,1,12,0,0,0,0,0,0,0,0,142,252,77,0,0,0,0,0,0,0,0,0,0,0,0,0,471
Orchidaceae,Telipogon biolleyi Schltr.,Telipogon,Flies,1,12,0,0,0,0,0,0,0,0,0,1,3,9,25,38,42,29,17,15,6,6,1,1,1,1,195
Orchidaceae,Trichosalpinx fruticosa Luer,Trichosalpinx,Flies,1,12,0,0,0,0,0,0,3,29,105,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
Orchidaceae,Warczewiczella discolor (Lindl.) Rchb. f.,Warczewiczella,Bees,1,12,2,2,0,4,7,9,19,27,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Piperaceae,Peperomia angularis C. DC.,Peperomia,Small insects,1,12,46,20,39,15,36,26,20,5,2,2,0,0,0,0,0,0,1,1,3,9,32,48,61,73,439
Piperaceae,Peperomia hylophila C. DC.,Peperomia,Small insects,1,12,2,3,0,6,81,197,436,416,331,192,95,26,0,0,0,0,0,0,0,0,0,0,0,0,1785
Piperaceae,Peperomia pseudoalpina Trel.,Peperomia,Small insects,1,12,0,0,0,0,1,2,4,14,27,33,20,20,4,2,0,1,0,0,0,0,0,0,0,0,128
Piperaceae,Peperomia ternata C. DC.,Peperomia,Small insects,1,12,30,21,25,15,10,7,9,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20,148
Piperaceae,Peperomia tetraphylla Hook. & Arn.,Peperomia,Small insects,1,12,2,0,3,7,2,1,2,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,4,1,29
Rubiaceae,Hillia maxonii Standl.,Hillia,Moths,1,12,0,0,0,0,0,0,4,0,1,1,16,1,4,16,7,0,0,0,0,0,1,0,0,0,51
Rubiaceae,Hillia triflora (Oerst.) C. M. Taylor,Hillia,Hummingbirds,1,12,32,34,30,18,32,379,306,199,27,194,77,51,114,10,164,90,21,34,71,216,116,163,90,112,2580
Rubiaceae,Notopleura maxonii (Standl.) C. M. Taylor,Notopleura,Bees,1,12,0,0,0,0,0,0,0,2,1,1,3,3,5,2,3,3,5,0,0,0,0,0,0,0,28
Rubiaceae,Notopleura pithecobia (Standl.) C. M. Taylor,Notopleura,Bees,1,12,20,16,9,3,5,10,10,10,13,9,8,14,13,10,14,12,18,9,15,16,10,15,14,16,289
Solanaceae,Merinthopodium neuranthum (Hemsl.) Donn. Sm.,Merinthopodium,Bats,1,12,2,2,4,1,1,1,1,1,3,1,2,1,2,8,6,1,1,0,0,0,0,0,1,1,40
Solanaceae,Schultesianthus leucanthus (Donn. Sm.) Hunz,Schultesianthus,Bees,1,12,0,0,0,1,8,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Urticaceae,Pilea vulcanica Liebm.,Pilea,Small insects,1,12,6,1,0,0,0,0,1,9,10,9,5,22,18,4,1,0,1,0,4,0,0,0,0,0,91
